   1    1        1.251487184       3.140855774       2.565974032
   1    2        0.419200227       1.551391197       1.117612043
   1    3        0.017772111       0.243558150       0.104202665
   1    4        0.012390692       0.262439589       0.121471960
   1    5        0.050641645       0.636732855       0.355420542
   1    6        0.002803921       0.099365390       0.035395160
   1    7        0.040439601       0.476313560       0.269343743
   1    8        0.000244859       0.024235011       0.005019555
   1    9        0.027078293       0.276988354       0.159835187
   1   10        0.000000069       0.002466969       0.000065709
   1   11        0.003041622       0.024662586       0.012746505
   1   12        0.000514638       0.031287370       0.010459795
   1   13        0.002223367       0.072779475       0.030931893
   1   14        0.000107590       0.010984645       0.002854345
   1   15        0.001812214       0.054345855       0.023326443
   1   16        0.000007192       0.002078180       0.000297606
   1   17        0.001222045       0.030927494       0.013531335
   1   18        0.000000001       0.000126216       0.000001827
   1   19        0.000111461       0.002140866       0.000787713
       -0.2063214175       -0.1773204188
